Dados Climáticos [id=1, timestamp=2025-11-25 19:14:57, co2=519,91, co=42,23, no2=90,36, so2=19,13, pm25=95,47, pm10=76,66, umidade=48,69, temperatura=29,89, ruido=44,03, radiacao=4,35]
Dados Climáticos [id=2, timestamp=2025-11-25 19:14:57, co2=403,19, co=27,85, no2=81,78, so2=12,54, pm25=50,60, pm10=156,16, umidade=72,70, temperatura=29,59, ruido=62,61, radiacao=8,16]
Dados Climáticos [id=3, timestamp=2025-11-25 19:14:57, co2=506,51, co=28,48, no2=134,28, so2=47,86, pm25=33,04, pm10=44,04, umidade=39,57, temperatura=19,71, ruido=37,15, radiacao=3,30]
Dados Climáticos [id=4, timestamp=2025-11-25 19:14:57, co2=458,03, co=38,95, no2=31,43, so2=6,80, pm25=144,26, pm10=175,06, umidade=35,47, temperatura=37,99, ruido=53,56, radiacao=4,73]
Dados Climáticos [id=5, timestamp=2025-11-25 19:14:59, co2=491,33, co=41,69, no2=29,93, so2=47,53, pm25=21,38, pm10=99,62, umidade=60,25, temperatura=25,18, ruido=41,07, radiacao=1,69]
Dados Climáticos [id=6, timestamp=2025-11-25 19:14:59, co2=575,44, co=28,32, no2=2,08, so2=16,35, pm25=190,15, pm10=147,33, umidade=63,55, temperatura=35,22, ruido=47,03, radiacao=4,49]
Dados Climáticos [id=7, timestamp=2025-11-25 19:15:00, co2=517,06, co=42,99, no2=140,62, so2=34,30, pm25=79,36, pm10=6,10, umidade=79,85, temperatura=34,01, ruido=61,81, radiacao=4,46]
Dados Climáticos [id=8, timestamp=2025-11-25 19:15:00, co2=519,52, co=17,14, no2=29,46, so2=40,06, pm25=182,39, pm10=35,20, umidade=39,33, temperatura=16,14, ruido=39,67, radiacao=7,05]
Dados Climáticos [id=9, timestamp=2025-11-25 19:15:02, co2=353,87, co=15,33, no2=5,92, so2=5,44, pm25=24,62, pm10=11,16, umidade=37,90, temperatura=36,63, ruido=63,86, radiacao=4,82]
Dados Climáticos [id=10, timestamp=2025-11-25 19:15:02, co2=597,62, co=27,89, no2=93,74, so2=40,55, pm25=17,81, pm10=84,01, umidade=40,56, temperatura=26,59, ruido=87,51, radiacao=6,70]
Dados Climáticos [id=11, timestamp=2025-11-25 19:15:02, co2=514,14, co=47,15, no2=126,46, so2=1,69, pm25=27,65, pm10=16,23, umidade=81,61, temperatura=27,43, ruido=44,35, radiacao=1,66]
Dados Climáticos [id=12, timestamp=2025-11-25 19:15:02, co2=584,07, co=21,38, no2=91,60, so2=22,78, pm25=82,17, pm10=26,83, umidade=30,50, temperatura=39,29, ruido=61,09, radiacao=5,54]
Dados Climáticos [id=13, timestamp=2025-11-25 19:15:04, co2=498,18, co=30,06, no2=23,05, so2=5,02, pm25=84,16, pm10=99,42, umidade=57,12, temperatura=33,05, ruido=79,20, radiacao=5,56]
Dados Climáticos [id=14, timestamp=2025-11-25 19:15:04, co2=539,88, co=10,96, no2=49,86, so2=10,05, pm25=97,69, pm10=187,75, umidade=55,27, temperatura=19,29, ruido=61,91, radiacao=9,58]
Dados Climáticos [id=15, timestamp=2025-11-25 19:15:04, co2=583,25, co=9,79, no2=23,02, so2=45,07, pm25=152,26, pm10=66,98, umidade=60,48, temperatura=32,13, ruido=53,01, radiacao=8,50]
